iter	Passed	Remaining
0	1	1525
1	3	1384
2	5	1433
3	6	1393
4	8	1435
5	11	1465
6	12	1466
7	14	1477
8	16	1463
9	18	1476
10	20	1465
11	22	1462
12	23	1456
13	25	1447
14	27	1441
15	29	1433
16	30	1426
17	32	1429
18	34	1426
19	36	1419
20	37	1412
21	39	1411
22	41	1397
23	42	1394
24	44	1388
25	46	1394
26	48	1389
27	50	1387
28	52	1393
29	54	1391
30	55	1387
31	57	1385
32	59	1385
33	61	1385
34	62	1382
35	64	1382
36	66	1381
37	68	1380
38	70	1378
39	72	1382
40	74	1384
41	76	1386
42	78	1387
43	80	1387
44	82	1385
45	83	1382
46	85	1380
47	87	1378
48	89	1376
49	91	1376
50	93	1374
51	95	1372
52	96	1370
53	98	1371
54	100	1370
55	102	1369
56	104	1366
57	106	1363
58	107	1361
59	109	1361
60	111	1359
61	113	1354
62	115	1353
63	117	1350
64	118	1347
65	120	1345
66	122	1343
67	124	1340
68	125	1339
69	127	1337
70	129	1335
71	131	1332
72	132	1329
73	134	1327
74	136	1326
75	138	1323
76	140	1322
77	142	1321
78	143	1318
79	145	1316
80	147	1314
81	149	1312
82	151	1310
83	152	1308
84	154	1304
85	156	1301
86	157	1299
87	159	1296
88	161	1292
89	162	1290
90	164	1288
91	166	1287
92	168	1286
93	170	1284
94	172	1282
95	173	1281
96	175	1279
97	177	1276
98	179	1276
99	181	1274
100	182	1268
101	184	1265
102	186	1265
103	188	1263
104	190	1263
105	191	1261
106	193	1260
107	195	1259
108	197	1257
109	199	1254
110	200	1251
111	202	1249
112	204	1247
113	206	1247
114	208	1245
115	209	1243
116	211	1241
117	213	1240
118	215	1238
119	217	1236
120	219	1234
121	220	1232
122	222	1229
123	224	1227
124	226	1226
125	228	1225
126	229	1222
127	231	1220
128	233	1219
129	235	1217
130	237	1216
131	238	1214
132	240	1212
133	242	1210
134	244	1208
135	246	1207
136	247	1204
137	249	1203
138	251	1201
139	253	1200
140	255	1198
141	257	1196
142	258	1194
143	260	1193
144	262	1191
145	264	1189
146	265	1186
147	267	1182
148	268	1180
149	270	1178
150	272	1177
151	274	1176
152	276	1174
153	278	1172
154	280	1170
155	281	1168
156	283	1167
157	285	1165
158	287	1165
159	289	1163
160	291	1161
161	293	1160
162	295	1158
163	297	1157
164	298	1155
165	300	1153
166	302	1150
167	304	1149
168	305	1147
169	307	1145
170	309	1143
171	311	1141
172	313	1139
173	314	1137
174	316	1135
175	318	1133
176	319	1131
177	321	1130
178	323	1127
179	325	1125
180	326	1123
181	328	1121
182	330	1119
183	332	1117
184	334	1115
185	335	1113
186	337	1111
187	339	1110
188	341	1108
189	342	1106
190	344	1104
191	346	1103
192	348	1101
193	350	1099
194	352	1097
195	354	1096
196	355	1092
197	356	1090
198	358	1088
199	360	1085
200	361	1084
201	363	1082
202	365	1080
203	367	1079
204	369	1078
205	371	1075
206	373	1073
207	374	1072
208	376	1070
209	378	1068
210	380	1066
211	381	1064
212	383	1063
213	385	1061
214	387	1059
215	389	1057
216	390	1055
217	392	1053
218	394	1051
219	396	1049
220	397	1047
221	399	1045
